"Kolpak.com.ua - заказ в интернет-магазине автомобильных колпаков";"Интернет магазины";"Преимущества интернет-магазина kolpak.com.ua:<br /><p>u2014 Поштучная продажа и раскомплектовка аксессуаров.<br /><p>u2014 Подробные консультации от квалифицированных менеджеров.<br /><p>u2014 Доставка по всей территории Украины - бесплатная!Оплачивается только стоимость товара.<br /><p>u2014 Самый большой ассортимент представленных брендов j-tek, sks, versaco, heko, hic. fly, vip.<br /><p>u2014 Возможность возврата товара в течении 14 дней.<br /><p>u2014 При покупке в интернет-магазине kolpak.com.ua в набор докладываются хомуты, для крепления колпака.<br /><p>u2014 Интернет-магазин работает с 10 до 18.00. Выходной день - Воскресенье.<br /><p>u2014 Товар отправляется по "Новой Почте" каждый день в 16.00, воскресенье u2013 выходной день.<br /><p><br /><p>Вознаграждение за подтвержденный заказ или запрос обратного звонка.<br /><p>Гео - Украина<br /><p>Запрещенные источники трафика - спам-рассылки, порно, мотивированный";"2013-09-03"
"LeBoutique Модный Клуб - регистрация или регистрация+заказ";"Интернет магазины";"Ежедневные распродажи брендовой одежды, обуви и аксессуаров для участников шопинг-клуба LeBoutique<br /><p><b>О клубе</b><br /><p><b>LeBoutique.com</b> u2014 шопинг-клуб u21161 в Украине. Мы предоставляем клиентам возможность приобрести товары от известных брендов, таких как Esprit, Zara, Calvin Klein, Nike, Benetton, Victoria's Secret, UGG, Diesel, Mexx, Juicy Couture, Gloria Jeans и многих других со скидкой до 90% в течение ограниченного периода времени u2014 от 5 часов до 3 дней.<br /><br /><p><b>Совершая покупки в нашем шопинг-клубе, ваши пользователи получают:</b><br /><p>- гарантию подлинности и качества товара;<br /><p>- постоянные скидки до 90%;<br /><p>- круглосуточную поддержку специалистов нашего колл-центра;<br /><p>- оперативную доставку заказа в любой уголок Украины;<br /><p>- возможность легко оформить возврат.<br /><p><br /><p><b>Преимущества работы с партнёрской программой ЛеБутик:</b><br /><p>- вы можете самостоятельно выбрать систему, по которой хотите с нами сотрудничать:<br /><p>- с оплатой за регистрацию в размере 6,5 грн (26 рублей);<br /><p>- с оплатой за доставленный и оплаченный заказ в размере 4% от суммы покупки.<br /><p>- в вашем распоряжении постоянно обновляемая база различных рекламных материалов;<br /><p>- наш ассортимент полностью обновляться в течении 3 дней, поэтому каждый клиент может выбрать "свою" вещь;<br /><p>- мы заинтересованы во взаимовыгодном сотрудничестве, поэтому разрабатываем программу лояльности для самых активных веб-мастеров.<br /><p><br /><p><b>Запрещенные источники трафика:</b><br /><p>несанкционированные e-mail рассылки, порно-трафик, контекстная реклама на бренд.<br /><p><b>Гео-таргетинг</b> - вся Украина.<br /><p><b>Холд</b> - 30 дней (до 14 дней доставка + 14 возврат).<br /><p><br /><p>Следите за регулярным обновлением лендингов и рекламных материалов.<br /><p><b>Важно! При использовании deeplink следите за сроком акции и наличием товара!</b>";"2013-09-03"
"Lingva.ua - заявка в школу ин.языков";"Разное";"Вознаграждение за подтвержденную заявку с корректными контактными данными. Гео - Киев  ";"2013-09-03"
"McDonald's HR";"Интернет магазины";"Вознаграждение за отправленное резюме с корректными данными.<br /><p>Разрешенный трафик:<br /><p>баннерная реклама<br /><p>контекстная реклама<br /><p>тизерный трафик";"2013-09-03"
"MCPP - бесплатная юридическая консультация";"Инет-магазины одежды,косметики";"Бесплатная консультация юриста и адвоката в Москве и Московской области.";"2013-09-03"
"Modnakasta - заказ в онлайн шоппинг-клубе";"Интернет магазины";"ModnaKasta - онлайн шоппинг-клуб. <br />Каждый день представляет распродажи брендовых life-style товаров со значительными скидками u2013 от 50% до 90%.<br /><br /><p>Во время этих краткосрочных акций каждый член клуба modnaKasta может приобрести на сайте: <br />одежду <br />обувь<br />косметику <br />аксессуары <br />украшения для женщин, мужчин и детей <br />декор для дома.<br /><br /><p>Гео-таргетинг:<br />Украина.<br /><p>Дополнительные условия:<br />Вознаграждение только за подтвержденные заказы. <p>Холд - 18 дней.";"2013-09-03"
"Modnapani.com.ua - заказ в интернет-магазине бижутерии и аксессуаров";"Инет-магазины одежды,косметики";"<b>Modnapani.com.ua</b> - надежный магазин качественных, стильных и модных аксессуаров с быстрой доставкой <br /><p>Это возможно? Более чем. Мы известны благодаря исключительным достоинствам своей продукции и неизменно придерживаемся высочайших стандартов обслуживания клиентов.<br /><p><br /><p><b>Делая покупки в магазине ModnaPani.com.ua:</b><br /><p>- Вы получаете эксклюзивную и качественную продукцию<br /><p>- Большой ассортимент модной бижутерии, часов и других аксессуаров<br /><p>- Быструю и бесплатную доставку в любой город Украины<br /><p>- Гарантию на весь ассортимент продукции 30 дней<br /><p>- Для партнеров - оптовая продажа бижутерии.<br /><p><br /><p><b>ЦА</b> - женщины, 18-35 лет.<br /><p><br /><p><b>Гео</b> - Украина.<br /><p><br /><p><b>Запрещенные источники трафика</b> - дорвей, спам-рассылки, порно.";"2013-09-03"
"Modoza - регистрация\/заказ в интернет-магазине";"Обучение";"Интернет-магазин MODOZA брендовой итальянской одежды, обуви, сумок, аксессуаров и товаров для дома.<br /><br /><p><b>Постклик</b> - 1 месяц<br /><p><b>Холд регистраций</b> - 7 дней, заказов - 20 дней<br /><p><b>Гео</b> - Украина<br /><p><b>Запрещенные источники</b> - порно, спам-рассылки, мотивированный трафик, попап форматы.<br />";"2013-09-03"
"Monster High - заказ в интернет-магазине кукол";"Игры";"Вознаграждение за подтвержденный и оплаченный заказ.";"2013-09-03"
"MyFlorange.ru интернет-магазин";"Интернет услуги";"Вознаграждение за подтвержденный и оплаченный заказ.<br />Холд - 20 дней<br />Гео - Украина";"2013-09-03"
"Navigator - подбор персонала ";"Интернет магазины";"<p><strong>Кадровое агентство НАВИГАТОР</strong> - одна из старейших компаний на рынке кадровых услуг. Мы занимается поиском, отбором, обучением и оценкой персонала в Киеве и всей Украине с июня 1999 года.<br />НАВИГАТОР - зарегистрированная торговая марка (ТМ), единственное рекрутинговое агентство с зарегистрированной торговой маркой (Свидетельство u211686896). Это говорит о том, что мы на рынке всерьез и надолго. Учитывая, что каждый месяц на рынке появляется несколько десятков агентств по подбору персонала, а другие десятки агентств - исчезают, для клиента очень важна стабильность и уверенность в партнере.<br /><strong>Преимущества работы с кадровым агенством Навигатор:</strong><br /><br /><ul><br /><li>опытные и квалифицированные рекрутеры.</li><br /><li>технология и Стандарты</li><br /><li>в лидерах Рейтингов рекрутинговых агентств Украины</li><br /><li>100% гарантии</li><br /></ul><br /></p><br /><p><strong>Запрещенный трафик </strong>- спам рассылки <br /><strong>Геотаргетинг</strong> - Украина <br /><strong>Целевая аудитория</strong> - руководители компаний (генеральный, коммерческий, HR-директор), менеджеры по персоналу. М/ж 25-55 лет</p><br /><p><strong>Преимущества работы с партнёрской программой Навигатор:</strong> <br /><br /><ul><br /><li>вы можете самостоятельно выбрать систему, по которой хотите с нами сотрудничать:</li><br /></ul><br />-подписка на рассылку сайта<br />-заявка на подбор персонала <br />-заполнения формы обратной связи (вопрос-ответ) на сайте <br />-звонок на сайт<br /><br /><ul><br /><li>мы заинтересованы во взаимовыгодном сотрудничестве, поэтому разрабатываем программу лояльности для самых активных веб-мастеров</li><br /></ul><br /></p><br /><p></p>";"2013-09-03"
"Nicer Dicer - супер овощерезка!";"Интернет магазины";"Найсер Дайсер Плюс u2013 незаменимый помощник на кухне! Его чрезвычайно острые режущие лезвия позволят Вам безупречно нарезать все виды фруктов и овощей.<br /><p>Вознаграждение за подтвержденный и оплаченный заказ.<br /><p>Холд заказов - 7 дней.<br /><p>Постклик - 1 месяц.<br /><p>Гео - Украина.<br /><p>Запрещенные источники трафика - порно, спам-рассылки, мотивированный.<br />";"2013-09-03"
"NoName.in.ua - заказ футболок с принтами (UA)";"Инет-магазины одежды,косметики";"Интернет-магазин футболок с принтами различных тематик. Бесплатная доставка.<br /><p>Гео - Украина<br /><p>Холд заказа - 14 дней<br /><p>Запрещенные источники - спам-рассылки, порно, мотивированный трафик, поп-ап форматы.";"2013-09-03"
"Nutricia Club ";"Инет-магазины одежды,косметики";"Вознаграждение за подтвержденную регистрацию в Nutricia Club (верификация зарегистрированного пользователя по электронной почте и/или телефону). Стимулом для посетителей является бесплатный подарок.<br /><p>Запрещен контекст в поиске google.";"2013-09-03"
"OKNA-TM Казахстан - регистрация компании";"Интернет магазины";"OKNA-TM.kz - единая система продаж для компаний поставляющих товары и услуги на рынке светопрозрачных конструкций. <br /><p>Вознаграждение за подтвержденную регистрацию компании. С компанией можно связаться, указанные контактные данные верны, компания не регистрировалась ранее на сайте.<br /><br /><p>Запрещенные виды трафика:<br /><p>- попандеры/кликандеры;<br /><p>- несанкционированные (не согласованные) рассылки;<br /><p>- спам в любом виде.<br /><p>Остальное (включая контекст) - разрешено";"2013-09-03"
"OKNA-TM Россия - регистрация компании";"Юрид. и бух. услуги ";"OKNA-TM.ru - единая система продаж для компаний поставляющих товары и услуги на рынке светопрозрачных конструкций. <br /><br /><p>Вознаграждение за подтвержденную регистрацию компании. С компанией можно связаться, указанные контактные данные верны, компания не регистрировалась ранее на сайте.<br /><br /><p>Запрещенные виды трафика:<br /><p>- попандеры/кликандеры;<br /><p>- несанкционированные (не <br /> согласованные) рассылки;<br /><p>- спам в любом виде.<br /><p>Остальное (включая контекст) - разрешено";"2013-09-03"
"Originalam.net - заказ интернет-магазине печатающих устройств и СНПЧ";"Интернет магазины";"<p>INKSYSTEM - интернет-магазин, осуществляющий продажу оригинальных систем непрерывной подачи чернил, перезаправляемых картриджей, чернил и фотобумаги для печатных устройств таких производителей как Canon, Epson, Brother и HP.<br /><p>Магазин постоянно расширяет свой ассортимент, предлагая своим покупателям лучшие товары, качество которых подтверждено необходимыми сертификатами.<br />Каждый клиент может воспользоваться специальными условиями и скидками, так же доступны промо-кода при помощи которых, покупатель может купить любую продукцию INKSYSTEM  с 5% скидкой.</br><br /><p>Конкурентные преимущества - качество производимой продукции.<br /><p>Мы делаем качественную цветную печать доступной каждому!<br /><p><br />Вознаграждение за подтвержденный и оплаченный заказ на сайте.<br /><p><br /><p><b>Гео: Украина, РФ, Беларусь. Казахстан - временно отключен.</b><br /><p><br /><p><b>Холд - 7 дней.</b><br /><p><br /><p><b>Запрещен дорвей-трафик.</b><br /><p>Реклмаодатель предоставляет большой набор баннеров по странам и моделям.<br /><p>Используйте промо-код! Epson-4020-837-730-30. Дает скидку 5% на всю продукцию INKSYSTEM, действителен до 31-го августа.";"2013-09-03"
"PerfumeShop - заказ в интернет-магазине духов (UA)";"Интернет магазины";"Вознаграждение за подтвержденный и оплаченный заказ. <p>Гео - Украина. <p>Холд - 10 дней. <p>Действует гибкая система увеличения % при большом количестве заказов от одного партнера.";"2013-09-03"
"Prime-class - заявка в школу иностранных языков";"Обучение";"Вознаграждение за подтвержденную заявку на пробное бесплатное занятие в школе иностранных языков Prime-class.<br />Вознаграждение за результативный звонок.";"2013-09-03"
"Prime World - RPG Strategy игра";"Инет-магазины одежды,косметики";"<b>Prime World</b> - это онлайн-стратегия с ролевыми элементами от создателей игр "Heroes of Might & Magic V";"2013-09-03"
"Prom.ua - активация профиля компании";"Инет-магазины одежды,косметики";"Вознаграждение за активацию профиля компании. <br />Холд 30 дней";"2013-09-03"
"ProstoMag - заказ в интернет-магазине техники и аксессуаров";"Обучение";"<b>ProstoMag.odessa.ua</b> - интернет-магазин мелкой бытовой техники, портативной техники и аксессуаров.<br /><p>Вознаграждение за подтвержденный и оплаченный заказ.<br /><p>Гео - Украина<br /><p>Холд заказов - 20 дней<br /><p>Постклик - 1 месяц<br /><p>Запрещенные источники трафика - порно, спам-рассылки, мотивированный.";"2013-09-03"
"Relax tone \u2013 устройство для массажа ";"Инфо-товары";"Relax tone u2013 устройство для массажа и расслабления, позволяющее уменьшить вес и придать стройность всему Вашему телу! Relax&Tone u2013 скульптор Вашего тела.<br /><p>Вознаграждение за подтвержденный и оплаченный заказ.<br /><p>Холд заказов - 7 дней.<br /><p>Постклик - 1 месяц.<br /><p>Гео - Украина.<br /><p>Запрещенные источники трафика - порно, спам-рассылки, мотивированный.<br />";"2013-09-03"
"SCALA - заказ в интернет-магазине белья (UA)";"Инфо-товары";"Вознаграждение за подтвержденный и оплаченный заказ белья для коррекции фигуры.<br /><p>Гео - Украина<br /><p><b>Запрещенные источники трафика:</b><br /><p>Порно, спам-рассылки, pop-up, click under, мотивированный трафик. ";"2013-09-03"
"ShopArt - интернет-магазин обуви, сумок и аксессуаров (UA)";"Обучение";"Интернет-магазин одежды <b>Shopart</b> создан для того чтобы доставлять удовольствие клиентам вместе с качественным ассортиментом и адекватным сервисом высокого уровня. <br /><p>Каждый сезон команда байеров Shopart отбирает коллекции напрямую у производителей в Италии, Германии и Франции, а также у официальных поставщиков европейских и американских брендов в Украине. <br /> <br /><p><b>Особенности:</b><br /><p>распродажи товара со значительными скидками (до 60%);<br /><p>доставка по всей Украине (Новая почта, Postman);<br /><p>бесплатная доставка заказов от 800 гривен.<br /><p>наличный и безналичный расчет;<br /><p><br /><p><b>Вознаграждение за подтвержденный и оплаченный заказ</b> - 8,5% от суммы заказа.<br /><p><b>География </b>- Украина.<br /><p><b>Постклик</b> - 7 дней.<br /><p><b>Холд конверсий</b> - 25 дней.<br /><p><br /><p><b>Запрещенные источники трафика</b> - контекстная реклама на бренд, попап, порно, спам, e-mail рассылки, мотивированный трафик.<br /><p><br /><p>Следите за обновлением посадочных страниц и рекламных материалов.<br /><p><b>Используйте промо-коды!</b> <br /><p>Купон на скидку 50 грн, лимит корзины 600 грн SHOPART50<br /><p>http://shopart.ua/100-bonus.html 100 грн скидка на покупки от 1000 грн. до 31.08.2013";"2013-09-03"
"shopzone.ua";"Обучение";"Вознаграждение за оплаченный заказ товара на сайте www.shopzone.ua. <br /><p>Холд - 14 дней.<br /><p>Гео - вся Украина.<br /><p><b>Запрещен виды трафика:</b><br /><p>порно, спам, e-mail рассылки, pop-under, контекст в поиске Google, контекст на бренд. <br /><p>Проверка источников трафика по требованию.<br /><p>Рекламные материалы регулярно обновляются";"2013-09-03"
"Shramko.in.ua - заявка на регистрацию юридического лица";"Обучение";"Принимаются заявки на регистрацию юридического лица. Заявка должна содержать корректные контактные данные.<br />Не принимаются заявки, по которым невозможно дозвониться в течение 2 дней либо по контактным данным которых не было заявки на создание юридического лица.<br><br />Самые низкие цены на регистрацию ООО (без учета услуг нотариуса)<br><br />Холд - 30 дней";"2013-09-03"
"Skidka.ua - интернет-магазин бытовой техники и электроники";"Обучение";"Вознаграждение за подтвержденный и оплаченный заказ. Гео - Украина.";"2013-09-03"
"Sotmarket.ru - интернет-магазин мобильной техники и аксуссуаров";"Интернет магазины";"<p><b>Сотмаркет</b> специализируется на розничной торговле электроникой, мелкой бытовой техникой и аксессуарами. В ассортименте магазина около 120 тысяч различных товаров. Это смартфоны, ноутбуки, планшеты, фотоаппараты и многое другое u2014 всё, что требуется для комфортной работы и отдыха в ритме современной жизни.<br /><p><br /><p>Наши преимущества:<br /><p><br /><p>- Широкий ассортимент товаров всегда в наличии;<br /><p>- Оперативное поступление новинок;<br /><p>- Доставка по всей России, без предоплаты;<br /><p>- Возможность бесплатно забрать заказ в одном из 60 офисов по всей России;<br /><p>- Множество оперативных бесплатных каналов связи;<br /><p>- Возможность оформить кредит онлайн за 2 минуты*;<br /><p>- Отслеживание выполнения заказов в личном кабинете, по электронной почте или СМС;<br /><p>- Круглосуточная служба поддержки.<br /><p><br /><p>Вознаграждение за подтвержденный и оплаченный заказ (% по категориям товаров).<br /><p><br /><p><b>Гео -Россия, Казахстан.</b><br /><p><br /><p>Холд - 20 дней. <br /><p><br /><p>Регулярное обновление рекламных материалов.<br /><p><br /><p>Участвуйте в конкурсе для вебмастеров от Сотмаркет!<br /><br />";"2013-09-03"
"Speak UP - заявка на курсы английского языка (UA)";"Разное";"Оплачивается корректно заполненная заявка со всеми обязательными полями.<br /><p><b>С 26.07 выплата увеличена! - 35 грн. (140 рублей).</b><br /><p><b>Гео - Киев, Одесса</b><br /><p><b>Разрешенный трафик:</b><br /><p>- Google Adwords<br /><p>- YandexDirect<br /><p>- MarketGid<br /><p>- Санкционированная Email-рассылка<br /><p>- Игровой трафик<br /><br /><p><b>Запрещенный трафик:</b><br /><p>- Переадресация (Redirect)<br /><p>- Порно трафик<br /><p>- Спам<br /><p>- Дорвейный<p>";"2013-09-03"
"Stock-Moda - регистрации в интернет-магазине";"Интернет услуги";"Вознаграждение за регистрацию в интернет-магазине (верификация по номеру телефона).<br />Гео - Украина.<br />Холд - 7 дней";"2013-09-03"
"Stock-moda.eurodiler.net";"Интернет услуги";"";"2013-09-03"
"Stop Smoking Россия";"Интернет магазины";"Оплачивается заявка на доставку видеокурса Stop Smoking с корректно заполненными полями: Ф.И.О., страна, почтовый индекс, подробный адрес.";"2013-09-03"
"Stroimprosto - строительные тендеры (Россия)";"Игры";"";"2013-09-03"
"StroyProsto - заявка на услуги ремонта (тендер)";"Интернет услуги";"Оплачивается корректно заполненная заявка на услуги ремонта. Корректно заполненная заявка - заявка, по которой можно связаться с человеком и данный человек действительно оставлял заявку.<br><br />Запрещенный виды трафика: контекстная реклама (Google Adwords), кликандеры/попандеры, несанкционированные email рассылки<br><br />Яндекс.Директ - разрешен";"2013-09-03"
"StudyBuddy - заказ интерактивного курса для первоклассника";"Интернет магазины";"Выплата - 40 грн. (160 рублей).";"2013-09-03"
"StudyBuddy - заказ интерактивного курса для старшеклассника";"Интернет магазины";"Выплата - 80 грн. (324 рубля).";"2013-09-03"
"SuperPCexpert Россия";"Интернет услуги";"Оплачивается корректно заполненная заявка на  курс видеоуроков, с заполнением обязательных полей - Ф.И.О., страна, почтовый индекс, подробный адрес доставки.";"2013-09-03"
"SuperPCexpert Украина";"Финансы";"Оплачивается корректно заполненная заявка на курс видеоуроков, с заполнением обязательных полей - Ф.И.О., страна, почтовый индекс, подробный адрес доставки.";"2013-09-03"
"SVISION";"Интернет магазины";"Оплачивается заявка на доставку набора Svision с корректно заполненными полями: Ф.И.О., страна, почтовый индекс, подробный адрес.";"2013-09-03"
"Sweet Home";"Интернет магазины";"Оплачивается заявка на доставку продукта Sweet Home с корректно заполненными полями: Ф.И.О., страна, почтовый индекс, подробный адрес.";"2013-09-03"
"Talking Hamster - заказ говорящего хомяка (UA)";"Интернет магазины";"Говорящий хомяк u2013 кумир современного поколения. Способен подшутить над друзьями, родственниками, знакомыми, случайными прохожими и даже u2026 сотрудниками ДПС u2013 видео, на котором хомяк троллит гаишника набрало несколько десятков тысяч просмотров. Плюшевый грызун повторяем каждое сказанное ему слово смешным мультяшным голосом. Выполненный из мягкого гипоаллергенного материала, говорящий хомяк приятный на ощупь и станет отличным подарком для взрослых и лучшим другом детей и подростков.<br /><p>Вознаграждение за подтвержденный и оплаченный заказ.<br /><p>Холд заказов - 10 дней.<br /><p>Гео - Украина.<br /><p>Запрещенные источники трафика - порно, спам-рассылки, мотивированный трафик.<br />";"2013-09-03"
"TEXAL - Ваша красота и спокойствие";"Инет-магазины одежды,косметики";"TEXAL - комплекс масок для лица и тела.<br /><p>Вознаграждение за подтвержденный и оплаченный заказ товара 120 грн. (485 рублей).<br /><p>География: Украина.<br /><p>Холд: 10 дней.<br /><p>Запрещенные источники трафика: порно, спам, мотивированный трафик.<br />";"2013-09-03"
"Tfin - заявка на кредит наличными";"Интернет магазины";"Оплачивается корректно заполненная заявка на получение кредита наличными (заполнены все обязательные поля). Запрещен мотивационный трафик, контекстная реклама.";"2013-09-03"
"Ticketforivent";"Интернет услуги";"Регистрация на сайте сервиса по продаже электронных билетов. <br />Корректно заполненная заявка должна содержать имя, фамилию, название компании, указание страны, телефон и e-mail адрес.<br />Запрещается использование мотивированный трафик.";"2013-09-03"
"Tiu.ru - активация профиля компании";"Инфо-товары";"Вознаграждение за активацию профиля компании.<br />Холд - 30 дней.";"2013-09-03"
"Topbrands.ru - заказ в интернет-магазине одежды";"Игры";"";"2013-09-03"
"Tribez для iPad";"Интернет услуги";"Вознаграждение за инсталляцию на iPad.<br />Запрещен мотивированный трафик, контекстная реклама, контекстная реклама на бренд.";"2013-09-03"
"TriggMine";"Инфо-товары";"TriggMine u2013 сервис триггерных сообщений для возврата брошенных корзин.<br />Вознаграждение за подтвержденную регистрацию на тестовый старт сервиса.<br />Таргетинг - Россия, Украина.";"2013-09-03"
"UATOYS - заказ в интернет-магазине детских товаров";"Финансы";"Вознаграждение за подтвержденный и оплаченный заказ.";"2013-09-03"
"UGG в интернет-магазине kokoss.com.ua";"Финансы";"Оплачивается подтвержденный заказ обуви с корректно заполненными обязательными полями - Имя, адрес электронной почты контактный телефон.";"2013-09-03"
"uGift Украина - заказ подарочного сертификата";"Интернет магазины";"Вознаграждение за заказ подарочного сертификата. Разрешены все виды трафика, кроме спама.<br><br />Выплата - 5% от стоимости оплаченного подарочного сертификата.<br><br />Действует бонусная программа: при 5 подтвержденных заказах в месяц выплата составляет 6% от стоимости, при 10 подтвержденных заказах - 7%, более 10 заказов в месяц - 7,5% от суммы. Доначисления к базовой выплате в 5% производятся раз в месяц.<br /><br><br />Холд - 10 дней";"2013-09-03"
"uTrader.com - брокер бинарных опционов";"Интернет магазины";"Вознаграждение за внесение средств на счет на сайте www.uTrader.com";"2013-09-03"
"V&V (VNV) - заказ в интернет-магазине зарядных устройств и БП";"Финансы";"Вознаграждение за подтвержденный заказ в интернет-магазине.<br /><p> Продажа зарядных устройства и блоков питания для различной портативной техники<p/>";"2013-09-03"
"Vetrovik.com.ua - заказ в интернет-магазине автомобильных ветровиков";"Финансы";"Интернет-магазин vetrovik.com.ua занимается оптовой реализацией автомобильных акссесуаров. <br /><p>Наши преимущества:<br /><p>u2014 Компетентные менеджеры, готовые дать качественную консультацию.<br /><p>u2014  Интернет-магазин работает с 10.00 до 18.00, выходной Воскресенье.<br /><p>u2014 Товар отправляется по "Новой Почте" каждый день в 16.00, воскресенье выходной.<br /><p>u2014 Бесплатная доставка по всей Украине, вы оплачиваете только себестоимость товара, никаких скрытых затрат, например за обратную доставку денег.<br /><p>u2014 Самый большой ассортимент представленных брендов j-tek, sks, versaco, heko, hic. fly, vip.<br /><p>u2014 Гарантированный возврат товара в течении 14 дней (Согласно 9 статьи Закона о Защите прав потребителя).<br /><p><br /><p>Вознаграждение за подтвержденный заказ или запрос обратного звонка.<br /><p>Гео - Украина<br /><p>Запрещенные источники трафика - спам-рассылки, порно, мотивированный";"2013-09-03"
"Vibiray.com - заказ в интернет-супермаркете";"Финансы";"";"2013-09-03"
"Vilenashop - заказ в интернет-магазине бюжетерии (UA)";"Интернет магазины";"<p><b>VilenaShop.com - интернет-магазин элитной бижутерии и украшений из натурального жемчуга</b>. <br /><br>В последнее время бижутерия становится неотъемлемой частью гардероба современной женщины. <br>Модная бижутерия помогает создавать стильный образ и выразить свою индивидуальность.<br /><br>В ассортименте представлены украшения известных брендов, таких как Hermes, Bvlgari, Cartier, Fendi, Gucci, Chanel, ShamballaJewells и др. А также украшения из натурального жемчуга: кольца, браслеты, ожерелья, кулоны, броши. Ассортимент постоянно обновляется и увеличивается.<br /><p>Размер выплаты за оплаченный заказ - от 12% суммы заказа.<br /><br>Действует бонусная система для вебмастеров в зависимости от суммы стоимости заказов, привлеченных за месяц (30 дней)<br /><br>Стандартная ставка 12% - от 0 до 5 000 гривен.<br /><br>Серебряная ставка 16% - от 5001 до 10 000 гривен.<br /><br>Золотая ставка 20% - больше 10 001 гривен.<br /><p><b>Конкурентные преимущества и особенности:</b><br /><br>- постоянно обновляемый каталог товаров;<br /><br>-высокое качество изделий;<br /><br>-бесплатная и удобная доставка по всей Украине в течение 1-3 дней, возможность доставки u00abот двери к двериu00bb;<br /><br>-красивая праздничная упаковка в подарок, независимо от суммы заказа;<br /><br>-регулярные акции и скидки. Скидка -5% каждому покупателю на вторую покупку;<br /><br>-постоянный раздел u00abРаспродажаu00bb;<br /><br>-качественное и оперативное обслуживание каждого клиента;<br /><br>-различные способы оплаты, удобные и безопасные для клиентов;<br /><br>-индивидуальный подход к каждому клиенту.<br /><p><b>Преимущества партнерской программы:</b><br /><br>-Постоянные акции, специальные предложения и бонусная шкала для постоянных партнёров;<br /><br>-Индивидуальные бонусы для партнеров, привлекающих свыше 100 заказов в месяц;<br /><br>-Большой выбор украшений, отвечающих требованию самых капризных покупателей;<br /><br>-Постоянно обновляемые рекламные материалы и колонка новостей;.<br /><br>-Бесплатная доставка товаров по всей территории Украины.<br /><p>Целевая аудитория: женщины от 18 до 50 лет <br /><br /><b>География - Украина</b> </p><br /><p>Запрещенные источники трафика:<br />e-mail-рассылки<br />трафик из приложений/игр в соц.сетях<br />Дорвеи<br />clickunder<br />тизерные сети<br />push-реклама<br />popup</p>";"2013-09-03"
"VipGift - заказ в интернет-магазине подарков";"Финансы";"";"2013-09-03"
"Vislinsky Club - игровой онлайн тренинг \"Создай Семью\"";"Финансы";"о тренинге <b>u00abСоздать Семьюu00bb</b><br /><p>Тренинг имеет три ступени: Знакомство, Резонанс, Развитие. Каждая длится 21 день.<br /><p>Стоимость одной ступени u2014 100 USD. Вы платите за:<br /><p>- неограниченный доступ к участию в онлайн игре u00abТеатр FMu00bb<br /><p>- три-пять дней в неделю игровые вебинары: каждый посвящен одному умению<br /><p>- ежедневные рекомендации Консультанта<br /><p>- учебные материалы по каждому выбранному умению<br /><p>- возможность обучиться на ведущего игры u00abТеатр FMu00bb.<br /><p><br /><p>Вознаграждение - % от суммы первого платежа (у пользователя есть возможность оплатить первую ступень или весь тренинг сразу со скидкой 30%).";"2013-09-03"
"voloshelp";"Инфо-товары";"простая форма заявки.<br />достойное вознаграждение.<br />время жизни PostClick Cookie 30 дней.<br />Целевая аудитория - потенциальные пользователи услуг: мужчины и женщины cтарше 25 лет,  страдающие выпадением волос. <br /><br />Некачественной (то есть не подлежащей оплате ) электронной заявкой считается такая заявка, в которой:<br />- нет возможности связаться с заполнившим анкету человеком по указанному телефону: телефонный номер не существует, заблокирован, заполнен с ошибками или не принадлежит заполнившему анкету;<br />- в течение 2 (двух) дней было сделано 3 (три) звонка, каждый из которых остался без ответа;<br />- более 40% обязательных полей заполнено пренебрежительно (u00ab-u00bb, u00abне скажуu00bb, u00abне знаюu00bb)<br />- указанный регион регистрации не соответствует выбранному Заказчиком таргетингу.";"2013-09-03"
"Wiskas - бесплатный корм для котят";"Интернет магазины";"Оплачивается корректно заполненная заявка (содержащая все обязательные поля) на получение 3-х пакетиков корма Whiskas для котят. Гео - вся Украина.";"2013-09-03"
"World of Dragons - регистрация в online mmorpg игре";"Финансы";"World of Dragons (Мир Драконов) u2014 бесплатная многопользовательская онлайн игра (online mmorpg), направленная на любителей PvP сражений. Основной акцент сделан на системе воздушных боёв. У пользователей появится отличная возможность сражаться на летающих Драконах и не только.<br /><br /><p><b>Выплата: </b>за активного игрока <b>50 грн.(200 руб.)</b><br /><br /><p><b>Холд: </b>до 30 дней<br><br /><p><b>Запрещенные источники трафика: </b> контекстная реклама, соц.сети (группы/паблики), мотивированный.<br /><p><b>Гео: </b>СНГ<br>";"2013-09-03"
"X-HOST - покупка хостинга и\/или домена";"Интернет услуги";"Вознаграждение за покупку  на сайте www.x-host.ua.";"2013-09-03"
"Yaware - установка программного обеспечения";"Инфо-товары";"Yaware - это эффективная, полностью автоматическая система учета рабочего времени сотрудников за компьютерами. <br /><br>Yaware даёт возможность контролировать работу сотрудников в любой точке планеты.</br><br /><p>Вознаграждение за приведенного пользователя, который установил и начал использовать Yaware.<br /><p>Гео - Украина и СНГ<br /><p>Холд конверсий - 10 дней<br /><p>Запрещенные источники трафика - порно, спам-рассылки, мотивированный.";"2013-09-03"
